(2022-02-24 17:28:58,187) [WARNING] started----------------------------
(2022-02-24 17:29:33,292) [WARNING] started----------------------------
(2022-02-24 17:30:12,257) [WARNING] started----------------------------
(2022-02-24 17:34:33,639) [WARNING] started----------------------------
(2022-02-24 17:34:33,751) [WARNING] <class 'str'>
(2022-02-24 17:34:33,752) [WARNING] started----------------------------
(2022-02-24 17:35:02,886) [WARNING] started----------------------------
(2022-02-24 17:35:02,998) [WARNING] <class 'str'>
(2022-02-24 17:35:02,999) [WARNING] started----------------------------
(2022-02-24 17:35:18,197) [WARNING] started----------------------------
(2022-02-24 17:35:18,310) [WARNING] <class 'str'>
(2022-02-24 17:35:18,312) [WARNING] started----------------------------
(2022-02-24 17:35:46,925) [WARNING] started----------------------------
(2022-02-24 17:36:19,957) [WARNING] started----------------------------
(2022-02-24 17:36:20,069) [WARNING] /live/clip/get/notes
(2022-02-24 17:36:20,071) [WARNING] started----------------------------
(2022-02-24 17:36:57,604) [WARNING] started----------------------------
(2022-02-24 17:36:57,716) [WARNING] /live/clip/get/notes
(2022-02-24 17:36:57,717) [WARNING] started----------------------------
(2022-02-24 17:38:08,598) [WARNING] started----------------------------
(2022-02-24 17:38:08,710) [WARNING] /live/clip/get/notes
(2022-02-24 17:38:08,711) [WARNING] started----------------------------
(2022-02-24 19:21:48,838) [WARNING] started----------------------------
(2022-02-24 19:21:48,950) [WARNING] /live/clip/get/notes
(2022-02-24 19:21:48,951) [WARNING] started----------------------------
(2022-02-24 19:29:33,113) [WARNING] started----------------------------
(2022-02-24 19:29:33,226) [WARNING] /live/clip/get/notes
(2022-02-24 19:29:33,226) [WARNING] started----------------------------
(2022-02-24 19:32:38,015) [WARNING] started----------------------------
(2022-02-24 19:32:38,127) [WARNING] /live/clip/get/notes
(2022-02-24 19:32:38,127) [WARNING] started----------------------------
(2022-02-24 19:36:15,496) [WARNING] started----------------------------
(2022-02-24 19:36:15,608) [WARNING] /live/clip/get/notes
(2022-02-24 19:36:15,608) [WARNING] started----------------------------
(2022-02-24 19:37:06,286) [WARNING] started----------------------------
(2022-02-24 19:37:06,398) [WARNING] /live/clip/get/notes
(2022-02-24 19:37:06,398) [WARNING] started----------------------------
